file,path,line,come,vul,vultype,version,gpt_response_valid,is_fixed,is_correctly_fixed
0x000000c96e715a5b8cd3beaea66bdb749225fa2f,/home/hjh/Desktop/test/sguardplus/sum/0x000000c96e715a5b8cd3beaea66bdb749225fa2f.sol,799.0,rlrep,311,access_control,^0.4.18,TRUE,TRUE,FALSE（没有进行修改）
0x00888096c1cdeb35bb3772f9080227aa6c9968ad,/home/hjh/Desktop/test/sguardplus/sum/0x00888096c1cdeb35bb3772f9080227aa6c9968ad.sol,199.0,rlrep,17,access_control,^0.4.13,TRUE,TRUE,FALSE（没有进行修改）
0x011585ba96aa16b803e239defd807465073b883c,/home/hjh/Desktop/test/sguardplus/sum/0x011585ba96aa16b803e239defd807465073b883c.sol,199.0,rlrep,69,unchecked_low_level_calls,^0.4.11,TRUE,TRUE,TRUE
0x0177584d97c96ba91873a6baaff2797b5b5eeaf9,/home/hjh/Desktop/test/sguardplus/sum/0x0177584d97c96ba91873a6baaff2797b5b5eeaf9.sol,799.0,rlrep,619,access_control,^0.4.25,TRUE,TRUE,FALSE（没有进行修改）
0x018a5118019cc0cd453e49217374250177be5970,/home/hjh/Desktop/test/sguardplus/sum/0x018a5118019cc0cd453e49217374250177be5970.sol,199.0,rlrep,9,unchecked_low_level_calls,^0.4.24,TRUE,TRUE,TRUE
0x018c4031426917a769fe9964ab2650621642b8d7,/home/hjh/Desktop/test/sguardplus/sum/0x018c4031426917a769fe9964ab2650621642b8d7.sol,199.0,rlrep,190,access_control,^0.4.17,TRUE,TRUE,TRUE
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,/home/hjh/Desktop/test/sguardplus/sum/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,199.0,SmartBugs,54,Reentrancy,^0.4.19,TRUE,TRUE,TRUE
0x0208a56ea43c3ff6c2611071948794c2674a16b9,/home/hjh/Desktop/test/sguardplus/sum/0x0208a56ea43c3ff6c2611071948794c2674a16b9.sol,399.0,smartfix,175,access_control,0.4.18,FALSE,TRUE,FALSE（删除代码）
0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1,/home/hjh/Desktop/test/sguardplus/sum/0x0246ca32095807e24a6bb9f811fecdbc2d5a83f1.sol,599.0,rlrep,175,Arithmetic,^0.4.25,TRUE,TRUE,FALSE
0x02639fc688df086f18ce5e7f0f014bc74de0229b,/home/hjh/Desktop/test/sguardplus/sum/0x02639fc688df086f18ce5e7f0f014bc74de0229b.sol,199.0,rlrep,49,access_control,^0.4.11,TRUE,TRUE,FALSE（没有进行修改）
